tweet_id,retweet_count,favorite_count
892420643555336193,8376,38239
892177421306343426,6184,32783
891815181378084864,4092,24687
891689557279858688,8517,41568
891327558926688256,9222,39746
891087950875897856,3070,19951
890971913173991426,2035,11675
890729181411237888,18596,64541
890609185150312448,4208,27421
890240255349198849,7277,31468
890006608113172480,7226,30242
889880896479866881,4902,27403
889665388333682689,9912,47463
889638837579907072,4479,26794
889531135344209921,2209,14898
889278841981685760,5301,24912
888917238123831296,4431,28682
888804989199671297,4236,25214
888554962724278272,3499,19570
888078434458587136,3446,21463
887705289381826560,5315,29754
887517139158093824,11499,45649
887473957103951883,17923,68148
887343217045368832,10254,33213
887101392804085760,5880,30152
886983233522544640,7665,34686
886736880519319552,3234,11882
886680336477933568,4400,22133
886366144734445568,3153,20896
886267009285017600,4,116
886258384151887873,6191,27605
886054160059072513,105,0
885984800019947520,6700,32223
885528943205470208,6334,35499
885518971528720385,3708,20154
885311592912609280,18312,0
885167619883638784,4321,21630
884925521741709313,18053,76444
884876753390489601,5585,27542
884562892145688576,4685,23977
884441805382717440,5575,26630
884247878851493888,20182,72056
884162670584377345,2947,20089
883838122936631299,3402,21611
883482846933004288,9817,45315
883360690899218434,3628,22269
883117836046086144,6583,36695
882992080364220416,3867,23650
882762694511734784,4853,27942
882627270321602560,6003,27542
882268110199369728,11446,44370
882045870035918850,4906,28975
881906580714921986,3350,23992
881666595344535552,10527,49915
881633300179243008,7,124
881536004380872706,15740,48806
881268444196462592,5107,22786
880935762899988482,2749,16793
880872448815771648,3768,20997
880465832366813184,6201,28160
880221127280381952,4166,26720
880095782870896641,4305,27289
879862464715927552,3454,22034
879674319642796034,10,309
879492040517615616,3145,23122
879415818425184262,43677,104531
879376492567855104,3085,16564
879130579576475649,6747,0
879050749262655488,4667,22288
879008229531029506,2664,18746
878776093423087618,4080,19169
878604707211726852,7121,29895
878404777348136964,1275,0
878316110768087041,6583,0
878281511006478336,1275,7653
878057613040115712,6747,41512
877736472329191424,18880,78832
877611172832227328,80,0
877556246731214848,3770,22441
877316821321428993,5121,27037
877201837425926144,5526,26790
876838120628539392,3312,20428
876537666061221889,4579,23217
876484053909872640,2377,18537
876120275196170240,4652,27590
875747767867523072,4258,24892
875144289856114688,4884,21671
875097192612077568,5994,27104
875021211251597312,4680,25174
874680097055178752,4608,27521
874434818259525634,14636,0
874296783580663808,4082,25769
874057562936811520,3931,22405
874012996292530176,10350,34229
873580283840344065,3923,23962
873337748698140672,1580,0
873213775632977920,1580,7162
872967104147763200,5382,27109
872820683541237760,3681,14572
872620804844003328,3684,20591
872486979161796608,8973,40313
872261713294495745,6299,33902
872122724285648897,8102,34166
871879754684805121,11157,37681
871762521631449091,3470,20115
871515927908634625,3447,20072
871166179821445120,5698,0
871102520638267392,5501,20787
871032628920680449,3816,22515
870804317367881728,6209,33412
870726314365509632,3,119
870656317836468226,2650,12341
870374049280663552,26247,82272
870308999962521604,4162,21732
870063196459192321,8373,36507
869772420881756160,10063,42254
869702957897576449,6366,28139
869596645499047938,3142,15928
869227993411051520,3802,20374
868880397819494401,14575,65510
868639477480148993,2110,0
868622495443632128,5471,26833
868552278524837888,2110,10129
867900495410671616,4209,24178
867774946302451713,7399,34001
867421006826221569,2531,16120
867072653475098625,122,0
867051520902168576,7943,32264
866720684873056260,4864,20116
866686824827068416,3529,19367
